original, substitute
Pink/red,	ROSA
Pink/white,	ROSA
Pinvin,	Grå
Pippi Fikapaus,	Vit
Pippi Herr Nilsson,	Flerfärgat
Pippi Lilla Gubben,	Flerfärgat
Pippi Of Today,	Flerfärgat
Pippi Villa Villekulla,	Flerfärgat
Pippi of Today,	Flerfärgat
Pippis bästa påhitt,	Flerfärgat
Pirat,	Flerfärgat
Pirater,	Flerfärgat
Pirates,	Flerfärgat
Plastic Pink,	ROSA
Playful Pepe,	Grå
Playful Pepe Patch,	Grå
Plommonlila,	Lila
Plum,	violett
Point Break,	Flerfärgat
Pojke,	Flerfärgat
Polisbil,	Flerfärgat
Pollen Yellow,	Gul
Pollen yellow,	Gul
Ponderose Pine,	Grön
Pop-beads,	lila
Pop-up,	Flerfärgat
Popbeads,	ROSA
Popcorn,	Gul
Poppy,	Röd
Porcelain,	blÅ
Port Combi,	lila
Portobello Suede,	Beige
Potpourri,	ROSA
Potpourri Berries,	ROSA
Potpourri Butterflies,	Gul
Potpurri,	ROSA
Powder,	ROSA
Powder Pink,	ROSA
Powder Pink Bow,	ROSA
Powder pink,	ROSA
Premium Black,	Svart
Premium Car Interior,	Svart
Premium Car Interior Black,	Svart
Presentbok,	Flerfärgat
Pressed Leaves Rose,	Rosa
Pretty,	Flerfärgat
Pretty Petrol,	blÅ
Prickar,	Gul
Prickig,	Gul
Prickig Grå,	Grå
Prickig Rosa,	ROSA
Prickig Vit,	Vit
Pride,	Flerfärgat
Primrose Pink,	ROSA
Primrose Yellow,	Gul
Princess,	Flerfärgat
Prinsessa,	Flerfärgat
Prinsessor,	Flerfärgat
Prism Pink,	ROSA
Provincial Blue,	BLÅ
Prune Purple,	Lila
Puderrosa,	ROSA
Puffin Parade,	Röd
Pure Black,	Svart
Purple,	Lila
Pyjamas,	Flerfärgat
Pysselbok,	lila
Pyssla med glitter,	Flerfärgat
Quarry,	Grå
Queen,	Flerfärgat
Quiet Shade,	Grå
Rabbit,	Grå
Rabbit Blue Wave,	BLÅ
Rabbit Dark Rose,	Rosa
Rabbit Mustard,	Brun
Rabbit Rose,	ROSA
Rabbit Sea Blue,	BLÅ
Racing Green,	Grön
Radiant Ray,	blÅ
Radiant grey,	Grå
Rainbow,	ROSA
Rainbow Boards,	Flerfärgat
Rainbow Love,	ROSA
Rainbow Love Sandy,	Beige
Raincoat,	Gul
Rainforest green,	Grön
Rainy Day,	Grå
Raket,	Flerfärgat
Randig,	Grå
Randig Rosa,	ROSA
Randig Sommar,	blÅ
Rapa Valley,	Grön
Raphael,	Flerfärgat
Raspberry,	lila
Raspberry pink,	ROSA
Rebel Green,	Grön
Rebel Poodle,	blÅ
Rebel Poodle Paul,	blÅ
Red,	Röd
Red/multi,	Röd
Redwood,	Röd
Refined Black,	Svart
Regnbåge,	Flerfärgat
Regnbåge Love Sandy,	Beige
Regnbågsfärgad,	Flerfärgat
Ren,	Flerfärgat
Resespel,	Flerfärgat
Resinsmycken,	lila
Retro,	Flerfärgat
Retro Dots,	blÅ
Retro Revolution Light,	blÅ
Rim och ramsor,	Flerfärgat
River Blue,	BLÅ
Riviera Blue,	BLÅ
Roarange,	orange
Rocket,	Flerfärgat
Rosa,	ROSA
Rosa Beige,	ROSA
Rosa Blomma,	ROSA
Rosa Elefant,	ROSA
Rosa Glass,	ROSA
Rosa Hjärtan,	ROSA
Rosa Kanin,	ROSA
Rosa Katt,	ROSA
Rosa Moln,	ROSA
Rosa Mus,	ROSA
Rosa Natur,	ROSA
Rosa Panda,	ROSA
Rosa Pastell,	ROSA
Rosa Pink Lemonade,	ROSA
Rosa Prickig,	ROSA
Rosa Rand,	ROSA
Rosa Randig,	ROSA
Rosa Serene Pink,	ROSA
Rosa Stjärna,	ROSA
Rosa Stjärnor,	ROSA
Rosa Zickzack,	ROSA
Rosa box,	ROSA
Rosa fötter,	ROSA
Rosa grå vit,	ROSA
Rosa hjärta,	ROSA
Rosa mix,	ROSA
Rosa/Blå,	Flerfärgat
Rosa/Grön,	Flerfärgat
Rosa/Multi,	Flerfärgat
Rosa/Natur,	Flerfärgat
Rosa/Orange,	Flerfärgat
Rosa/Turkos,	Flerfärgat
Rosa/Vit,	Flerfärgat
Rosa/guld,	Flerfärgat
Rosa/guldprickar,	Flerfärgat
Rose,	ROSA
Rose Cloud,	ROSA
Rose Dream,	ROSA
Rose Dust,	ROSA
Rose Mix,	ROSA
Rose Multi Mix,	ROSA
Rose Pink,	ROSA
Rose Sandy,	ROSA
Rose Taupe,	ROSA
Rose Wine Melange,	ROSA
Rose cloud,	ROSA
Rose garden collection,	ROSA
Rose/Mustard Stripe,	ROSA
Roseguld,	Guld
Rosewater,	ROSA
Rosewood,	ROSA
Rosin,	Grön
Rost,	orange
Rotting,	beige
Royal blue,	BLÅ
Rubber,	brun
Rumba röd,	Röd
Rymd,	Flerfärgat
Rymden,	Flerfärgat
Rymdraket,	blÅ
Röd,	Röd
Sable,	brun
Safari,	Flerfärgat
Safir,	blÅ
Safir Dotty,	blÅ
Sage,	Flerfärgat
Sage Green,	Grön
Sahara Motif,	Grön
Sail Away,	blÅ
Salute,	Svart
Sand,	beige
Sand Fog,	beige
Sand Melange,	beige
Sand art pink,	ROSA
Sand fog,	beige
Sand/Ash rose,	ROSA
Sandshell,	beige
Sandy,	beige
Sandy Stripe,	blÅ
Sandy stripe,	blÅ
Satin Black,	Svart
Savanna Stripes,	Vit
Sax Jr,	blÅ
Se,	Flerfärgat
Sea,	blÅ
Sea Blue,	BLÅ
Sea Blue Stripe,	BLÅ
Sea Blue/Mustard Stripe,	BLÅ
Sea Creature,	blÅ
Sea Fog,	blÅ
Sea Green Melange,	Grön
Sea Horse,	blÅ
Sea fog,	blÅ
Sea pink,	ROSA
Seacrest,	blÅ
Seagrey,	Grå
Seahorses,	blÅ
Seal Grey,	Grå
Seashell,	Grön
Sedona Sage,	Grön
Selmas Blommor,	Flerfärgat
Senapsgul,	Gul
Sengångare,	beige
Sengångare & Zebra,	Flerfärgat
Sesame,	beige
Shadow Grey,	Grå
Shadow Purple,	Lila
Shadow rose,	ROSA
Sharp Grey,	Grå
Sharp Red,	Röd
Shearling,	beige
Shell,	beige
Shell/Stone,	ROSA
Ship,	blÅ
Shitake Grey,	Grå
Shocking Orange,	Orange
Siffror,	Flerfärgat
Silkesapa,	Grå
Silly Circus,	Gul
Silver,	Silver
Silver Dubbelhjärta,	Silver
Silver Grey,	Grå
Silver Mink,	Silver
Silver Pink,	ROSA
Silver Rosa,	ROSA
Silver line,	Silver
Silver pink,	ROSA
Silver/Deep Black,	Svart
Silver/Grey,	Grå
Silver/Magnolia Pink,	ROSA
Silver/Navy Blue,	BLÅ
Silver/River Blue,	BLÅ
Silver/Soho Grey,	Grå
Silver/charcoal,	Silver
Silverblå,	BLÅ
Silvergrå,	Grå
Singel,	Grå
Sjöjungfrur,	Flerfärgat
Skalman,	Grön
Ski Patrol,	Röd
Skogsdjur,	Flerfärgat
Skogstema,	Grå
Skogsälvor,	Flerfärgat
Skola,	Flerfärgat
Sky Captain Blue,	BLÅ
Sky Grey,	Grå
Sköldpadda,	Grön
Slate,	Grå
Slate Gray,	Grå
Slate Twill,	Grå
Slate/Bird,	BLÅ
Small Dot Black,	Svart
Smoke,	blÅ
Smoke Blue,	BLÅ
Små,	Flerfärgat
Snake,	beige
Snow White,	Vit
Snow White Stripes,	Vit
Snow white,	Vit
Snow white/green,	Vit
Snow white/pink,	Flerfärgat
Snusmumrik,	Silver
Snäckor,	roSA
So Lovely Grå,	Grå
Soft Blue,	BLÅ
Soft Cherry,	Röd
Soft Dots,	roSA
Soft Grey,	Grå
Soft Grey Sprinkless,	Grå
Soft Mint,	Grön
Soft Peach,	roSA
Soft Pink,	Rosa
Soft Rose,	ROSA
Soft rose,	ROSA
Soft rose pink,	Rosa
Soft white,	Vit
Soho Grey,	Grå
Som en sjöjungfru,	Flerfärgat
Sovrum,	Flerfärgat
Space,	blÅ
Space Black,	Svart
Sparrow,	brun
Spectra Yellow,	Gul
Spectra yellow,	Gul
Spicy Mustard,	Gul
Spicy Sprinkles,	brun
Spirit,	Flerfärgat
Spjälsäng,	Grå
Splash,	Flerfärgat
Split Green,	Grön
Split green,	Grön
Spray,	Vit
Spring Blossom Dark,	Svart
Spring Blossom Light,	Flerfärgat
Spring Bud,	Grön
Spring Flowers,	Rosa
Spring bud,	Grön
Standard,	Flerfärgat
Stapeltorn,	Flerfärgat
Star Grå,	Grå
Star Ljusblå,	Blå
Star Rosa,	ROSA
Star Vit,	Vit
Star bright,	ROSA
Star gaze grape,	Grön
Stardust Black Plus,	Svart
Starka färger,	Flerfärgat
Starling,	ROSA
Stars,	roSA
Stars lime,	Grön
Stars rosa,	ROSA
Steel,	Grå
Steel Grey,	Grå
Stella,	blå
Stella Pink,	Rosa
Stella Unicorn,	lila
Stellar,	blå
Sterling Blue,	BLÅ
Stjärna,	Grå
Sto,	Grå
Stone,	Grå
Stone Blue,	BLÅ
Stone Green,	Grön
Stor,	Flerfärgat
Storm Grey,	Grå
Straw,	Rosa
Strawberry,	Rosa
Strawberry Cream,	beige
String,	Röd
Stripe Jr,	blÅ
Stripe Multi,	Flerfärgat
Stripe collection,	Vit
Strl Small,	Flerfärgat
Struts,	Rosa
Studsbollar,	blÅ
Stunning silver,	Silver
Stunt,	Flerfärgat
Stål,	Flerfärgat
Stålgrå,	Grå
Suddisar,	Flerfärgat
Sugar Coral,	Rosa
Sugar Plum,	rosa
Sugar plum,	rosa
Summer,	beige
Summer Storm,	Flerfärgat
Summertime,	rosa
Sunny Coral,	rosa
Sunset Pink,	Rosa
Superhero,	blÅ
Supernova Star,	lila
Surf,	Grön
Surfboard,	Vit
Sv,	Flerfärgat
Svamp,	Rosa
Svan,	rosa
Svan Rosa,	ROSA
Svart,	Svart
Svart Black,	Svart
Svart Black Cab,	Svart
Svart Black melange,	Svart
Svart Black/Gray,	Svart
Svart Cosmos Black,	Svart
Svart Cotton Mix,	Svart
Svart Denim,	Svart
Svart Mesh,	Svart
Svart Night black,	Svart
Svart Ny,	Svart
Svart Vit Guld,	Flerfärgat
Svart XXL,	Svart
Svart XXXL,	Svart
Svart och Reflex,	Svart
Svart och Rosa,	ROSA
Svart och Vit,	Vit
Svart och vit,	Vit
Svart-vit,	Vit
Svart/Grå,	Svart
Svart/Grå Mesh,	Svart
Svart/Grön,	Grön
Svart/Lila,	Lila
Svart/Magnolia Pink,	Rosa
Svart/Natur,	Svart
Svart/Navy Blue,	BLÅ
Svart/Randig,	Svart
Svart/Rosa,	ROSA
Svart/Soho Grey,	Svart
Svart/Vit,	Vit
Svart/grå,	Svart
Svartmelerad,	Svart
Sweet Date,	beige
Sweet Date Flower,	ROSA
Sweet Dreams,	Grön
Sweet Heart,	ROSA
Sweet pink,	Rosa
Sweetiepie,	Rosa
Swinging Sloth,	Grön
Sydafrikanska djur,	Flerfärgat
Sykort,	violett
Tan,	Flerfärgat
Tandem,	Grå
Tannin,	beige
Tar,	Flerfärgat
Taupe,	brun
Taurus,	brun
Tea Rose,	Röd
Teal,	BLÅ
Teal Melange,	BLÅ
Tender Blue,	BLÅ
Terrakotta,	brun
Tess,	Rosa
Tetris Black,	Svart
Throne Grey,	Grå
Thule Blue,	BLÅ
Thunder blue,	BLÅ
Thyme,	Grön
Tiger,	Orange
Tiger Grön,	Grön
Tiger Tango,	Grön
Tile Orange,	Orange
Timeless Green,	Grön
Timeless Grey,	Grå
Timon,	Vit
Tinyflower,	blÅ
Tinyflower Blue,	BLÅ
Tinyflower Honey,	beige
Tipu Tiger,	Orange
Toasted Coconut,	brun
Toffee,	beige
Tofu,	vit
Tofu/Cinnamon,	beige
Tofu/Midnight Blue,	BLÅ
Tolv berättelser om att ha syskon,	Grön
Tomato red,	Röd
Tonal Leaflet,	beige
Total Eclipse,	blÅ
Total eclipse,	blÅ
Totally Roarsome,	Grön
Tottes,	Flerfärgat
Toucans,	beige
Tradewinds,	blÅ
Traktor,	Flerfärgat
Transparent,	Svart
Transparent Blå,	BLÅ
Transparent Rosa,	ROSA
Transparent/Rosa,	ROSA
Transparent/Svart,	Svart
Tree of Life,	Grön
Trellis,	Grön
Trinity,	Vit
Trooper white,	Vit
Tropic Pink/Deep Blush,	Rosa
Tropical,	Flerfärgat
Tropical Island,	Flerfärgat
True Blue,	BLÅ
True Red,	Röd
Trä,	Flerfärgat
Trävita,	beige
Tucan,	Grön
Tukan,	Flerfärgat
Tulipwood,	Lila
Turkos,	blÅ
Turkos Blommor,	blÅ
Turkos/Blå,	BLÅ
Turkos/Vit,	Vit
Turltedove,	beige
Turquise,	blÅ
Turquoise,	blÅ
Turquoise Dino,	blÅ
Turtle,	Grön
Turtle Bay,	blÅ
Turtledove,	Grön
Tut,	Flerfärgat
Tutti Frutti,	Flerfärgat
Twilight Blue,	BLÅ
Ubåt,	Gul
Uggla,	BLÅ
Ugglis,	Röd
Ugglor,	Flerfärgat
Ultra Blue,	BLÅ
Umber,	brun
Una the Unicorn,	BLÅ
Underwater Love,	vit
Unicorn,	rosa
Unicorn Pink,	Rosa
Unicorn Pink Blue,	Flerfärgat
Unicorn Rain,	beige
Unicorn pink,	Rosa
Urban Chic,	Grön
Utan Dyna,	Svart
Utan dyna,	svart
Utan lock,	Flerfärgat
Utrotningshotade Djur Land,	Flerfärgat
Vagn/Vagga,	Vit
Val,	Flerfärgat
Val Grön,	Grön
Vallarta Blue,	BLÅ
Valnöt,	brun
Vanilla,	beige
Vanilla Puppy,	beige
Vanilla White,	Vit
Vanilla White Bunny,	Vit
Varg,	Grå
Vargen,	Grå
Varm Grå,	Grå
Vatten och bad,	Flerfärgat
Vattenbana,	blÅ
Vattenmelon,	Grön
Vattenpärlor,	Flerfärgat
Vattenpärlor refill,	Gul
Vattentät,	beige
Velvet Black,	Svart
Vem gömmer sig,	Flerfärgat
Very Berry,	Rosa
Vi flyger,	blÅ
Vi är Babblarna,	Flerfärgat
Vikings,	Flerfärgat
Vilda djur,	Flerfärgat
Vinröd,	Röd
Vintage Flower,	Grå
Vintage Pink,	Rosa
Vintage indigo,	blÅ
Vintergatan,	blÅ
Vinterskrud,	blÅ
Violet,	Violett
Violet Ice,	Violett
Violet Quartz,	Violett
Violet Stars,	Violett
Vispekbok,	Gul
Vit,	Vit
Vit Benny&Bell,	Vit
Vit Camoflage,	Vit
Vit Enfärgad,	Vit
Vit Grå,	Vit
Vit Isbjörn,	Vit
Vit Ny,	Vit
Vit Stjärna,	Vit
Vit Svan,	Vit
Vit Trekking,	Vit
Vit White,	Vit
Vit XXL,	Vit
Vit XXXL,	Vit
Vit fötter,	Vit
Vit och rosa,	ROSA
Vit/Beige Neutral,	Vit
Vit/Ljusrosa,	ROSA
Vit/Rosa,	ROSA
Vit/lila,	Vit
Vit/silver,	Vit
Vitlaserad,	beige
Vulcano blue,	BLÅ
WHITE/BLACK,	Vit
WHITE/GREEN,	Vit
WHITE/PARTICLE,	Vit
WHITE/PARTICLE GRE,	Vit
WHITE/PINK FOAM,	Flerfärgat
WHITE/WHITE,	Vit
WHITE/WHITE-METALL,	Vit
WHITE/WHITE-PINK R,	Flerfärgat
WHITE/WHITE-WHITE,	Vit
Walnut,	brun
Warm Cerise,	ROSA
Warm Sand,	Gul
Watercolor Splash,	BLÅ
Whale Warf,	BLÅ
Whiskers,	Röd
Whisper Pink,	Rosa
Whisper White,	Vit
White,	Vit
White Aqua,	Vit
White Base,	Vit
White Deep Grey,	Grå
White Mini Cherries,	Vit
White Pepper,	Vit
White Skye,	Vit
White pepper,	Vit
White/Grey picot,	Vit
White/Silver,	Vit
White/Silver dots,	Vit
White/multi,	Vit
Wild Amazon,	Flerfärgat
Wild Blooms Black,	Svart
Wild Blooms black,	Svart
Wild Cat,	BLÅ
Wild Life,	Flerfärgat
Wild Paris,	brun
Wildlife,	brun
Winter day,	brun
Wisteria,	Violett
Wistful Mauve,	Rosa
Withered Rose,	Röd
Wood,	Flerfärgat
Woodland,	Flerfärgat
Woodrose,	Rosa
Wrought Iron,	Grå
Xmas Red,	Röd
Yellow,	Gul
Yellow Anise Flower,	Gul
Yellow Mellow,	Gul
Yellow Mellow/Dark Rose Mix,	Gul
Yin Yang,	Grön
Yokos World,	Rosa
Zebra,	Rosa
Zebra Dark Red,	Röd
Zebra Terracotta,	brun
Zebra-Cadabra,	Röd
Zephyr,	rosa
Zick Zack,	Grå
Zickzack,	lila
Zoo,	Flerfärgat
Zoo Babies,	Flerfärgat
Zoo Smådjur,	Flerfärgat
aktivitetsbok,	Flerfärgat
aqua,	BLÅ
badbok,	BLÅ
batteri,	Flerfärgat
beige,	Beige
bilderbok,	Flerfärgat
black stencil,	Svart
blandade färger,	Flerfärgat
blond,	Flerfärgat
blå,	BLÅ
blå/lila,	Flerfärgat
blå/rosa,	Flerfärgat
bok,	Flerfärgat
brunett,	Brun
cognac,	Brun
colour line,	Flerfärgat
dagbok,	rosa
dark blue/white,	BLÅ
doftfritt,	Vit
figurskuren pekbok,	Gul
finutgåva,	Beige
fästes i handtag,	Vit
för Sleepi Minisäng,	Vit
för Sleepi Spjälsäng,	Vit
för en sits,	Svart
ginger,	Gul
grå,	Grå
grå-melange linen,	Grå
grön,	Grön
grön blå,	BLÅ
gul,	Gul
guld,	Guld
hav,	Flerfärgat
kapitelbok,	Flerfärgat
kartongpek,	Flerfärgat
khaki,	Grön
lic,	Flerfärgat
lila,	Lila
liten,	Flerfärgat
ljud,	Beige
ljudbok,	Flerfärgat
ljusblå,	BLÅ
ljusgrå,	Grå
luftmadrass,	Vit
marinblå,	BLÅ
med ljud,	Flerfärgat
mini,	Flerfärgat
miniböcker,	Lila
målarbok,	Flerfärgat
mörkblå,	BLÅ
natur,	Beige
navy,	BLÅ
offwhite-Pastell Pink,	Rosa
orange,	Orange
orkester,	Flerfärgat
passar Classic,	Grön
passar alla Classic,	Lila
pastell,	Flerfärgat
pekbok,	Flerfärgat
peppermint,	Grön
pysselbok,	Flerfärgat
rosa,	ROSA
röd,	Röd
samlingsvolym,	Flerfärgat
sand,	Beige
seriebok,	Flerfärgat
silver/charcoal,	Silver
sitt- och liggläge,	Beige
små,	Flerfärgat
stora,	Flerfärgat
svart,	Svart
svart/grå,	Svart
till Mysiga stugan,	Beige
till amningskudde,	Grå
toffee,	Beige
tom,	Flerfärgat
turkos,	BLÅ
vagnsbok,	Gul
verktygslåda,	Flerfärgat
vit,	Vit
vit/svart,	Vit
Älg,	Brun
Älg Vit,	Vit
Älvor,	Flerfärgat
Äpple,	Flerfärgat
Äpple/Hallon,	ROSA
Äventyret i Lindrizia,	blÅ
älvor,	ROSA
